"","X","Year","Author","Title","Publisher.s.","Winner","Locus.data","Nebula.data","Campbell.data","Goodreads.Avg.Rating","Goodreads.Number.of.Ratings","Nominations.Since.Win"
"256",256,2015,"Cixin Liu","The Three-Body Problem","Tor Books",TRUE,1,1,1,4.01,46180,1
"257",257,2015,"Katherine Addison","The Goblin Emperor","Tor Books",FALSE,2,1,0,4.05,14337,1
"258",258,2015,"Kevin J. Anderson","The Dark Between the Stars","Tor Books",FALSE,0,0,0,3.65,1375,1
"259",259,2015,"Jim Butcher","Skin Game","Roc Books",FALSE,0,0,0,4.56,52765,1
"260",260,2015,"Ann Leckie","Ancillary Sword","Orbit Books",FALSE,2,1,0,4.03,24637,1
"261",261,2016,"N. K. Jemisin","The Fifth Season","Orbit Books",TRUE,1,1,0,4.3,29204,1
"262",262,2016,"Naomi Novik","Uprooted","Del Rey",FALSE,2,2,0,4.12,79403,2
"263",263,2016,"Ann Leckie","Ancillary Mercy","Orbit Books",FALSE,2,1,0,4.2,18345,2
"264",264,2016,"Neal Stephenson","Seveneves","William Morrow and Company",FALSE,1,0,1,3.98,58586,3
"265",265,2016,"Jim Butcher","The Cinder Spires: The Aeronaut's Windlass","Roc Books",FALSE,0,0,0,4.18,26479,2
"266",266,2017,"N. K. Jemisin","The Obelisk Gate","Orbit Books",TRUE,1,1,0,4.36,15030,1
"267",267,2017,"Charlie Jane Anders","All the Birds in the Sky","Tor Books",FALSE,2,2,0,3.58,19467,1
"268",268,2017,"Becky Chambers","A Closed and Common Orbit","Hodder & Stoughton",FALSE,0,0,0,4.38,8647,1
"269",269,2017,"Cixin Liu","Death's End","Tor Books",FALSE,2,0,0,4.45,11649,1
"270",270,2017,"Yoon Ha Lee","Ninefox Gambit","Solaris Books",FALSE,2,1,0,3.92,4849,1
"271",271,2017,"Ada Palmer","Too Like the Lightning","Tor Books",FALSE,0,0,0,3.88,3331,1
